datetime,mav_roll,mav_pitch,mav_tilt,mav_acc_x,mav_acc_y,mav_acc_z,sonic_wind_dir,sonic_wind
2020-03-26 18:41:01+00:00,3.789832763,4.584267191,6.071737322,0.078469188,-0.067037449,-0.067037449,124.2755515,4.406916586
2020-03-26 18:41:02+00:00,3.646364186,4.898306109,5.868781521,0.082711491,-0.064579873,-0.064579873,124.082015,4.145797067
2020-03-26 18:41:03+00:00,3.756897607,4.773299952,5.966564242,0.079864108,-0.063838704,-0.063838704,123.6338143,4.162838738
2020-03-26 18:41:04+00:00,3.642898111,4.604397622,5.756365671,0.081744548,-0.06493643,-0.06493643,123.3150033,4.251447414
2020-03-26 18:41:05+00:00,3.773043932,4.625470472,5.828209082,0.078194628,-0.063600789,-0.063600789,125.9463472,4.107712651
2020-03-26 18:41:06+00:00,3.551918647,4.532764873,5.711440115,0.078793073,-0.063493252,-0.063493252,125.1620432,4.312420424
2020-03-26 18:41:07+00:00,3.820918773,4.40424518,5.938275381,0.074153827,-0.065971309,-0.065971309,124.1373416,4.824740097
2020-03-26 18:41:08+00:00,3.861102241,4.211805844,5.42271772,0.075156788,-0.065364264,-0.065364264,123.2728552,5.239941845
2020-03-26 18:41:09+00:00,3.81914273,4.550599354,5.298689435,0.07398343,-0.067312452,-0.067312452,120.4268589,4.626816049
2020-03-26 18:41:10+00:00,3.963464107,3.703878415,5.093155936,0.064461949,-0.065721808,-0.065721808,114.5910363,5.603525728
2020-03-26 18:41:11+00:00,3.61259411,3.878817138,4.892349522,0.064750123,-0.064926921,-0.064926921,122.1445193,5.544340395
2020-03-26 18:41:12+00:00,4.044481798,3.098121247,5.090689588,0.054277287,-0.067641462,-0.067641462,127.4522568,5.161832759
2020-03-26 18:41:13+00:00,4.089653432,2.687394587,5.441366668,0.047269852,-0.070647689,-0.070647689,125.4581142,5.00400012
2020-03-26 18:41:14+00:00,3.828778461,3.357434128,5.504392522,0.062207004,-0.059198351,-0.059198351,128.1548212,4.850238059
2020-03-26 18:41:15+00:00,3.274444393,4.348227418,5.538682505,0.07269981,-0.061384725,-0.061384725,122.6809228,5.365429461
2020-03-26 18:41:16+00:00,3.825457266,3.960749775,6.514381297,0.057557234,-0.067818722,-0.067818722,125.0012406,5.779972073
2020-03-26 18:41:17+00:00,4.507733601,3.221609681,6.016561766,0.066747784,-0.078032136,-0.078032136,124.7471418,5.350969414
2020-03-26 18:41:18+00:00,4.804392831,4.404597851,5.924178017,0.068356512,-0.08239546,-0.08239546,129.75123,5.072086307
2020-03-26 18:41:19+00:00,4.623488425,3.854171372,6.015333437,0.069223584,-0.07791336,-0.07791336,130.2440435,4.428925173
2020-03-26 18:41:20+00:00,4.386941914,3.985182944,5.975972383,0.070591626,-0.072732047,-0.072732047,138.6494385,4.285218956
2020-03-26 18:41:21+00:00,3.956315222,4.534811368,6.309011178,0.075999174,-0.067741456,-0.067741456,139.4816692,4.141225751
2020-03-26 18:41:22+00:00,3.676298277,4.714615826,5.622652654,0.082209705,-0.067087596,-0.067087596,133.4824519,4.080357189
2020-03-26 18:41:23+00:00,3.88804324,4.972396188,4.942354097,0.084245615,-0.064644373,-0.064644373,124.3719143,4.583668323
2020-03-26 18:41:24+00:00,3.381419602,4.494852153,5.146733328,0.076294078,-0.056252923,-0.056252923,126.8280657,4.666034994
2020-03-26 18:41:25+00:00,3.073314726,3.872465606,5.10990495,0.065068635,-0.060346958,-0.060346958,125.7753846,4.437792982
2020-03-26 18:41:26+00:00,4.221032757,2.947451727,5.225255604,0.055898369,-0.068441762,-0.068441762,136.1738567,4.57323328
2020-03-26 18:41:27+00:00,3.866071066,3.343890239,5.442994279,0.068732675,-0.056978989,-0.056978989,142.5319799,3.741665977
2020-03-26 18:41:28+00:00,2.608690577,4.529040894,4.629708124,0.064129737,-0.057029366,-0.057029366,152.7329046,3.717972179
2020-03-26 18:41:29+00:00,3.997325925,3.697264407,4.519304857,0.062206898,-0.063864217,-0.063864217,146.2181194,3.500814201
2020-03-26 18:41:30+00:00,3.10589936,3.43498892,5.418513949,0.062282546,-0.050131627,-0.050131627,148.6169463,3.544168348
2020-03-26 18:41:31+00:00,2.123718252,3.990141788,4.919232226,0.073634697,-0.048087406,-0.048087406,144.3538877,4.122838802
2020-03-26 18:41:32+00:00,3.469303978,4.164785035,4.556903466,0.06403208,-0.052965588,-0.052965588,135.0236466,3.804798336
2020-03-26 18:41:33+00:00,3.290821599,3.658423636,4.973136353,0.06289427,-0.053391956,-0.053391956,143.4604057,4.621450164
2020-03-26 18:41:34+00:00,2.869536961,3.541414586,4.639076912,0.063743105,-0.055048974,-0.055048974,136.0854241,4.784743043
2020-03-26 18:41:35+00:00,3.20368093,3.805734545,4.378446289,0.068667578,-0.049278938,-0.049278938,128.0099494,5.022885023
2020-03-26 18:41:36+00:00,2.255542157,4.054881192,4.365239047,0.063529047,-0.040239502,-0.040239502,125.1022078,4.557979107
2020-03-26 18:41:37+00:00,1.869585284,3.959925549,4.286571353,0.065956406,-0.04304994,-0.04304994,137.3567432,4.469347335
2020-03-26 18:41:38+00:00,2.959137258,3.210605438,5.870657915,0.057772112,-0.04632019,-0.04632019,147.5910519,4.020653313
2020-03-26 18:41:39+00:00,3.225132884,2.825180502,6.068405438,0.060582924,-0.05358319,-0.05358319,151.9153183,4.285051475
2020-03-26 18:41:40+00:00,3.305853848,4.854082777,6.074786077,0.077749469,-0.054337005,-0.054337005,150.0960445,3.732602448
